Project_ID,Location,Geographic_Region,Budget_Cr,Tower_Count,Substations_Count,Steel_Demand_Tons,Conductor_Demand_Km,Insulator_Demand_Nos,Transformer_Demand_Units,Tower_Type,Substation_Type,Terrain_Difficulty,Tax_Rate,Start_Year,Completion_Year,Line_Length_CKM,Transformation_Capacity_MVA,Voltage,Circuit,Transformer_Bin
PROJ-9595,Nellore-II,Coastal Plains,3236,6093,2,184252,5484,346844,3,S/C 220 kV,AIS,Medium,18,2011,2013,1828,891.3902724663603,220,S/C,2+
PROJ-2330,Pune,Central Plains,1483,1877,1,56760,1971,97135,2,S/C 220 kV,AIS,Medium,12,2019,2023,657,232.3413305330861,220,S/C,2+
PROJ-4497,KanpurExt,Northern Plains,2026,2480,2,69440,2604,128340,2,S/C 220 kV,Hybrid,Low,12,2022,2026,868,491.2865394447438,220,S/C,2+
PROJ-6568,NagpurExt,Central Plains,692,555,1,19181,1332,91908,2,D/C 400 kV,Hybrid,Medium,18,2019,2021,222,1017.3218481917625,400,D/C,2+
PROJ-2873,Jaisalmer,Desert Plains,1430,1425,2,52440,2856,235980,3,D/C 400 kV,AIS,High,18,2022,2025,476,1430.416937234011,400,D/C,2+
PROJ-9753,Sonipat,Northern Plains,1514,1536,1,49152,3072,190771,2,D/C 400 kV,GIS,Low,12,2015,2019,512,699.4735790171835,400,D/C,2+
PROJ-9083,Mainpuri-III,Northern Plains,6000,5434,1,173888,10866,899870,5,D/C 400 kV,Hybrid,Low,18,2020,2024,1811,1567.2789835653607,400,D/C,2+
PROJ-5523,Raichur,Central Plains,1679,2017,1,60994,2118,78285,2,S/C 220 kV,GIS,Medium,18,2015,2017,706,288.09641902621934,220,S/C,2+
PROJ-8139,Dharamjaygarh,Hilly Forests,2941,2557,2,94098,5130,423439,4,D/C 400 kV,Hybrid,High,12,2012,2016,855,1498.9744232612782,400,D/C,2+
PROJ-3759,Turumunga,Hilly Forests,1328,768,2,28262,1842,95386,3,D/C 400 kV,GIS,High,18,2022,2025,307,1072.6227647149415,400,D/C,2+
PROJ-6431,Solapur,Central Plains,1084,1915,1,57910,1440,99101,1,S/C 220 kV,AIS,Medium,12,2015,2019,480,177.34706926010747,220,S/C,1
PROJ-5707,Gopalpur,Coastal Plains,1659,1208,2,41748,2898,220049,4,D/C 400 kV,Hybrid,Medium,18,2020,2023,483,1381.527646272711,400,D/C,2+
PROJ-4593,Khetri-II,Desert Plains,5776,4558,1,206751,10926,943506,3,D/C 765 kV,Hybrid,Medium,18,2017,2020,1821,2127.2148622131413,765,D/C,2+
PROJ-9469,Dhanbad,Hilly Forests,2243,2158,1,79414,4320,357365,5,D/C 400 kV,AIS,High,18,2010,2013,720,1925.6036857300069,400,D/C,2+
PROJ-5456,DhanbadExt,Hilly Forests,3410,2355,2,113746,5664,487485,5,D/C 765 kV,Hybrid,High,12,2014,2017,944,7410.841716647178,765,D/C,2+
PROJ-2830,Fatehgarh,Desert Plains,943,1003,2,36910,2010,166097,3,D/C 400 kV,AIS,High,12,2017,2019,335,1158.2208830821048,400,D/C,2+
PROJ-3261,Ramgarh,Desert Plains,1457,1139,2,51665,2736,176830,5,D/C 765 kV,GIS,Medium,18,2015,2018,456,7327.096756443969,765,D/C,2+
PROJ-5129,ChoutuppalRE Park,Central Plains,1083,1275,1,38556,1530,65981,3,S/C 220 kV,AIS,Medium,18,2014,2017,510,679.8608743639606,220,S/C,2+
PROJ-2103,Varanasi,Northern Plains,1340,1578,2,44184,1893,61246,2,S/C 220 kV,GIS,Low,18,2011,2013,631,480.1431319891085,220,S/C,2+
PROJ-4072,Varanasi-II,Northern Plains,2441,2154,2,90468,5172,445878,5,D/C 765 kV,AIS,Low,18,2013,2015,862,6935.432121325586,765,D/C,2+
PROJ-7550,Ranchi,Hilly Forests,1223,905,2,33304,1812,149868,3,D/C 400 kV,AIS,High,12,2021,2025,302,1535.6113296927447,400,D/C,2+
PROJ-6946,Bhadla,Desert Plains,1554,1005,1,48541,2418,156026,1,D/C 765 kV,GIS,High,12,2012,2015,403,661.6287140946138,765,D/C,1
PROJ-7846,Kudankulam-III,Coastal Plains,2159,1398,2,63413,3360,238743,5,D/C 765 kV,GIS,Medium,18,2021,2025,560,5403.433107182273,765,D/C,2+
PROJ-2442,Paradeep,Coastal Plains,4610,5607,1,206338,11226,1021371,3,D/C 400 kV,AIS,High,12,2011,2013,1871,1556.8667514169751,400,D/C,2+
PROJ-4999,Kishenpur,Hilly Forests,1802,2383,2,76733,2145,92490,2,S/C 220 kV,GIS,High,12,2011,2013,715,322.1455441377574,220,S/C,2+
PROJ-1603,Sikar,Desert Plains,2308,2679,2,92586,5376,443642,3,D/C 400 kV,AIS,Medium,12,2019,2022,896,1545.4416469075745,400,D/C,2+
PROJ-7208,Jind,Northern Plains,1070,1191,1,38112,2382,197230,2,D/C 400 kV,Hybrid,Low,12,2011,2015,397,1070.0382860893737,400,D/C,2+
PROJ-8624,Koppal,Central Plains,930,1373,1,41520,1236,53290,0,S/C 220 kV,GIS,Medium,12,2010,2013,412,165.07993963185356,220,S/C,0
PROJ-2840,Jaipur-III,Desert Plains,1662,1455,1,50285,2928,180711,3,D/C 400 kV,GIS,Medium,12,2022,2025,488,1543.1365700567424,400,D/C,2+
PROJ-7939,AnanthapuramGIS,Coastal Plains,5994,5715,1,197510,11436,1041044,5,D/C 400 kV,AIS,Medium,12,2020,2023,1906,2008.3003065564424,400,D/C,2+
PROJ-8091,Beawar,Desert Plains,1526,1931,1,58393,2028,99929,2,S/C 220 kV,AIS,Medium,12,2012,2014,676,347.08632122377344,220,S/C,2+
PROJ-7526,TurumungaRE Park,Hilly Forests,2113,2274,2,73223,2388,88260,2,S/C 220 kV,GIS,High,18,2019,2021,796,435.94833902421755,220,S/C,2+
PROJ-6063,Barmer,Desert Plains,992,670,2,32361,1596,138690,5,D/C 765 kV,Hybrid,High,12,2012,2016,266,4933.710764797275,765,D/C,2+
PROJ-4160,SolapurExt,Central Plains,1340,1045,2,47401,2532,216315,5,D/C 765 kV,Hybrid,Medium,18,2013,2015,422,4671.971827552144,765,D/C,2+
PROJ-4122,MainpuriExt,Northern Plains,960,1800,2,50400,1356,69862,1,S/C 220 kV,GIS,Low,18,2011,2013,452,229.02067240611296,220,S/C,1
PROJ-5546,KanpurGIS,Northern Plains,2014,2041,1,65312,4086,253492,4,D/C 400 kV,GIS,Low,12,2012,2015,681,1457.7207438934188,400,D/C,2+
PROJ-3897,Mainpuri,Northern Plains,2646,2203,2,92526,5274,456021,5,D/C 765 kV,AIS,Low,12,2013,2017,879,5360.020996045915,765,D/C,2+
PROJ-6739,Vijayawada,Coastal Plains,691,1218,1,36832,918,52001,1,S/C 220 kV,GIS,Medium,12,2010,2012,306,108.72075435088675,220,S/C,1
PROJ-8384,Koppal,Central Plains,1020,1200,1,36288,1440,62100,2,S/C 220 kV,AIS,Medium,18,2011,2014,480,387.97780559637715,220,S/C,2+
PROJ-6846,Gadag,Coastal Plains,1100,1295,1,39161,1554,55288,2,S/C 220 kV,GIS,Medium,18,2013,2015,518,348.0634801021778,220,S/C,2+
PROJ-5310,NagbhidRE Park,Central Plains,3860,4768,1,144184,5721,246744,2,S/C 220 kV,AIS,Medium,18,2020,2024,1907,332.30012186820545,220,S/C,2+
PROJ-4327,Jaisalmer,Desert Plains,1967,1835,1,67528,3684,303876,4,D/C 400 kV,Hybrid,High,18,2018,2021,614,2471.9783697578137,400,D/C,2+
PROJ-9242,Keonjhar,Hilly Forests,2830,2715,3,99912,5436,449604,5,D/C 400 kV,AIS,High,18,2013,2015,906,2004.40008182385,400,D/C,2+
PROJ-6372,KoppalRE Park,Coastal Plains,868,786,2,27164,1572,107383,1,D/C 400 kV,GIS,Medium,12,2013,2015,262,388.59670277375176,400,D/C,1
PROJ-5847,Fatehgarh,Desert Plains,1411,878,1,42407,2118,181746,3,D/C 765 kV,AIS,High,12,2011,2014,353,2618.060601282148,765,D/C,2+
PROJ-1254,Nagpur,Central Plains,1725,1369,1,62098,3282,212537,4,D/C 765 kV,GIS,Medium,12,2010,2012,547,4784.119186699892,765,D/C,2+
PROJ-3766,Mainpuri,Northern Plains,2364,4398,1,123144,5277,227596,3,S/C 220 kV,Hybrid,Low,12,2012,2016,1759,425.35123056921606,220,S/C,2+
PROJ-1169,Jind,Northern Plains,2261,1569,1,65898,3774,243587,4,D/C 765 kV,GIS,Low,12,2014,2018,629,2560.336060946096,765,D/C,2+
PROJ-4289,Sonipat,Northern Plains,1790,2537,3,71036,2664,131290,3,S/C 220 kV,AIS,Low,12,2012,2016,888,493.53045854316036,220,S/C,2+
PROJ-8840,Sonipat,Northern Plains,1372,1203,1,50526,2166,249021,4,D/C 765 kV,AIS,Low,18,2022,2025,361,2546.485325768115,765,D/C,2+
PROJ-2561,Bakhtiyarpur,Northern Plains,1332,1051,2,44142,2520,217557,4,D/C 765 kV,AIS,Low,18,2010,2012,420,4211.279907631631,765,D/C,2+
PROJ-3177,KanpurGIS,Northern Plains,924,1737,2,48636,1305,67417,0,S/C 220 kV,GIS,Low,18,2018,2021,435,183.95617128925528,220,S/C,0
PROJ-8274,IndoreExt,Central Plains,1775,1992,2,68844,3990,329875,4,D/C 400 kV,AIS,Medium,12,2015,2018,665,2405.4775293745424,400,D/C,2+
PROJ-7744,Bikaner-III,Desert Plains,2580,2677,3,80952,2811,103901,2,S/C 220 kV,GIS,Medium,18,2022,2026,937,451.15776597945444,220,S/C,2+
PROJ-9276,Gadag-II,Central Plains,1288,950,1,43092,1710,147488,2,D/C 765 kV,GIS,Medium,18,2020,2024,285,1141.8818339998554,765,D/C,2+
PROJ-8191,RaigarhExt,Hilly Forests,1837,1030,2,49749,2484,159908,2,D/C 765 kV,GIS,High,12,2021,2024,414,1101.537062078794,765,D/C,2+
PROJ-3598,SonipatRE Park,Northern Plains,1399,1420,2,45440,2838,235152,4,D/C 400 kV,AIS,Low,12,2014,2016,473,1236.4541388732903,400,D/C,2+
PROJ-5910,Jaisalmer,Desert Plains,4649,4478,2,164790,10746,741557,5,D/C 400 kV,AIS,High,18,2011,2015,1791,2454.1622326436873,400,D/C,2+
PROJ-5366,KhetriGIS,Desert Plains,1632,1960,1,59270,2058,76072,1,S/C 220 kV,GIS,Medium,18,2012,2016,686,131.00832334554883,220,S/C,1
PROJ-9376,Rewa,Central Plains,2010,2543,2,76900,2670,131600,4,S/C 220 kV,AIS,Medium,12,2017,2019,890,872.6666084552086,220,S/C,2+
PROJ-6954,Beawar-III,Desert Plains,1156,1127,1,38949,2268,139973,1,D/C 400 kV,GIS,Medium,12,2018,2021,378,312.3249022872408,400,D/C,1
PROJ-1826,GurgaonExt,Northern Plains,851,1206,1,33768,1266,62410,2,S/C 220 kV,AIS,Low,12,2012,2016,422,344.0762565645051,220,S/C,2+
PROJ-9141,Beawar,Desert Plains,1592,1401,1,48419,2784,174004,1,D/C 400 kV,GIS,Medium,18,2018,2020,464,472.34027581808544,400,D/C,1
PROJ-2263,Gurgaon,Northern Plains,4873,4531,2,190302,10878,937917,5,D/C 765 kV,Hybrid,Low,12,2012,2014,1813,7326.259151953849,765,D/C,2+
PROJ-2588,Jaisalmer,Desert Plains,2055,1210,2,58443,2910,250470,3,D/C 765 kV,Hybrid,High,12,2022,2024,485,4026.069225035944,765,D/C,2+
PROJ-9035,Kudankulam,Coastal Plains,2581,2795,3,102856,5592,509137,3,D/C 400 kV,Hybrid,High,12,2013,2015,932,1435.2287703940056,400,D/C,2+
PROJ-9092,Aligarh-III,Northern Plains,988,1046,2,33472,2094,173218,3,D/C 400 kV,Hybrid,Low,12,2016,2018,349,1618.830420385435,400,D/C,2+
PROJ-1178,Kishenpur,Hilly Forests,925,1049,2,33778,1101,54286,2,S/C 220 kV,Hybrid,High,12,2016,2020,367,406.52013932047817,220,S/C,2+
PROJ-1291,Dhanbad,Hilly Forests,2011,1650,2,60720,3312,204930,3,D/C 400 kV,GIS,High,12,2017,2020,552,1294.8326924303465,400,D/C,2+
PROJ-1009,Umred,Central Plains,3137,6223,1,188184,5601,322040,3,S/C 220 kV,Hybrid,Medium,12,2011,2015,1867,347.0738288053596,220,S/C,2+
PROJ-7093,Beawar,Desert Plains,1922,1511,1,68539,3630,312777,2,D/C 765 kV,Hybrid,Medium,12,2010,2013,605,1161.7459332343954,765,D/C,2+
PROJ-9535,Beawar,Desert Plains,2425,2238,2,77345,5370,370613,4,D/C 400 kV,AIS,Medium,12,2017,2019,895,1739.8178866268363,400,D/C,2+
PROJ-6533,Yadadri,Central Plains,720,1063,2,32145,957,55010,0,S/C 220 kV,Hybrid,Medium,12,2011,2015,319,131.2874085342172,220,S/C,0
PROJ-9097,Nagbhid-II,Central Plains,1437,1524,1,52669,3060,189281,4,D/C 400 kV,GIS,Medium,12,2012,2015,510,1323.912742907305,400,D/C,2+
PROJ-9688,Fatehgarh,Desert Plains,1538,2106,2,67813,1590,108985,1,S/C 220 kV,Hybrid,High,12,2022,2024,530,155.98677938918857,220,S/C,1
PROJ-9170,North Karanpura,Hilly Forests,3354,4738,2,152564,5685,183894,3,S/C 220 kV,GIS,High,18,2015,2019,1895,694.2667971001001,220,S/C,2+
PROJ-5750,Keonjhar,Hilly Forests,1648,1869,2,60182,1962,72541,2,S/C 220 kV,GIS,High,12,2017,2021,654,367.84002497111595,220,S/C,2+
PROJ-7929,Fatuha,Northern Plains,2900,2560,3,107520,6144,397440,4,D/C 765 kV,GIS,Low,18,2018,2021,1024,2634.585790569964,765,D/C,2+
PROJ-2513,Raichur,Central Plains,843,657,1,22706,1320,81599,1,D/C 400 kV,GIS,Medium,12,2022,2024,220,412.8202900164125,400,D/C,1
PROJ-3088,Turumunga,Hilly Forests,1697,1028,1,49652,2472,212796,1,D/C 765 kV,Hybrid,High,12,2013,2015,412,594.1569882685601,765,D/C,1
PROJ-7539,Dharamjaygarh,Hilly Forests,1933,996,1,48107,2406,154629,2,D/C 765 kV,GIS,High,18,2010,2013,401,2959.021057243017,765,D/C,2+
PROJ-1299,Sikar,Desert Plains,2305,2170,1,98431,3906,336892,4,D/C 765 kV,GIS,Medium,18,2012,2014,651,2391.336642604006,765,D/C,2+
PROJ-9704,NeemranaGIS,Desert Plains,1838,2713,3,82041,2442,140398,2,S/C 220 kV,Hybrid,Medium,12,2019,2023,814,338.52172843576034,220,S/C,2+
PROJ-4752,Gurgaon,Northern Plains,767,742,1,20776,891,28799,1,S/C 220 kV,GIS,Low,18,2021,2025,297,229.95473652855267,220,S/C,1
PROJ-3482,Mainpuri,Northern Plains,1482,1688,1,54016,3360,209650,3,D/C 400 kV,GIS,Low,18,2017,2019,560,1528.7427143589673,400,D/C,2+
PROJ-5347,Aligarh,Northern Plains,1293,1899,2,53172,1431,98273,0,S/C 220 kV,Hybrid,Low,18,2020,2023,477,174.92252292529423,220,S/C,0
PROJ-5652,Beawar,Desert Plains,4090,6337,2,191631,5703,327940,3,S/C 220 kV,Hybrid,Medium,18,2021,2025,1901,600.6239303491554,220,S/C,2+
PROJ-9814,Koppal-II,Coastal Plains,1342,1611,2,48717,1692,68780,2,S/C 220 kV,GIS,Medium,18,2017,2021,564,265.1737708325719,220,S/C,2+
PROJ-4987,Barmer,Desert Plains,3221,3033,2,146494,5460,470873,2,D/C 765 kV,GIS,High,18,2018,2022,910,2888.5031942503347,765,D/C,2+
PROJ-5458,Umred,Central Plains,835,761,2,26300,1512,126022,4,D/C 400 kV,Hybrid,Medium,12,2011,2014,252,2040.052748628735,400,D/C,2+
PROJ-8973,Bakhtiyarpur,Northern Plains,1340,1052,2,44184,2526,217764,4,D/C 765 kV,Hybrid,Low,18,2016,2020,421,4708.673369531927,765,D/C,2+
PROJ-8702,Ranchi,Hilly Forests,1824,1257,2,60713,3024,195149,4,D/C 765 kV,GIS,High,12,2012,2016,504,3833.0115619660664,765,D/C,2+
PROJ-7799,KhetriExt,Desert Plains,4098,5561,2,192188,11136,920902,4,D/C 400 kV,Hybrid,Medium,12,2019,2022,1856,2026.240364534076,400,D/C,2+
PROJ-3384,Ramgarh,Desert Plains,2235,2010,1,91174,3618,312052,5,D/C 765 kV,GIS,Medium,12,2010,2013,603,7026.753209780319,765,D/C,2+
