Project_ID,Location,Geographic_Region,Budget_Cr,Tower_Count,Substations_Count,Steel_Demand_Tons,Conductor_Demand_Km,Insulator_Demand_Nos,Transformer_Demand_Units,Tower_Type,Substation_Type,Terrain_Difficulty,Tax_Rate,Start_Year,Completion_Year,Line_Length_CKM,Transformation_Capacity_MVA
PROJ-6601,Odisha,Coastal Plains,2293.0,2382,2,83370.0,2859,57168,5,S/C 220 kV,AIS,Low,12,2010,2013,953,4127
PROJ-5110,Delhi,Northern Plains,1150.0,745,2,22350.0,894,15502,2,S/C 220 kV,GIS,Low,12,2013,2015,298,500
PROJ-5815,Rajasthan,Desert Plains,1421.0,1015,2,35525.0,1218,24847,1,S/C 220 kV,Hybrid,Low,12,2012,2015,406,1605
PROJ-5899,Rajasthan,Desert Plains,1584.0,1278,2,38340.0,2556,79778,2,D/C 400 kV,GIS,Low,18,2019,2021,426,3301
PROJ-9060,Rajasthan,Desert Plains,1252.0,7410,1,222300.0,5562,192660,4,S/C 220 kV,AIS,High,12,2021,2025,1854,3042
PROJ-3259,Raipur,Hilly Forests,2121.0,1533,2,44394.0,3684,226884,3,D/C 765 kV,Hybrid,Medium,12,2015,2018,614,2980
PROJ-9766,Assam,Hilly Forests,2153.0,2704,2,81265.6792594196,5400,194688,5,D/C 400 kV,AIS,Medium,18,2012,2015,900,4686
PROJ-8329,Raipur,Hilly Forests,875.0,1135,2,32063.0,2274,89665,1,D/C 400 kV,AIS,Low,18,2021,2024,379,500
PROJ-8929,Delhi,Northern Plains,1522.0,1306,2,45710.0,1371,28210,3,S/C 220 kV,GIS,Medium,12,2016,2020,457,1463
PROJ-7977,Bihar,Northern Plains,1250.0,1215,1,36550.0,2928,182250,3,D/C 765 kV,AIS,Low,12,2013,2017,488,3356
PROJ-9595,Gujarat,Desert Plains,1075.0,6093,2,198177.0,5484,149157,3,S/C 220 kV,AIS,High,18,2011,2013,1828,3095
PROJ-2330,Karnataka,Coastal Plains,1744.0,1877,1,65695.0,1971,45048,3,S/C 220 kV,AIS,Medium,12,2019,2023,657,3158
PROJ-4497,Rajasthan,Desert Plains,2499.0,2480,2,86800.0,2604,59520,3,S/C 220 kV,Hybrid,Medium,12,2022,2026,868,4639
PROJ-6568,Jabalpur,Hilly Forests,969.0,555,1,16650.0,1332,39960,1,D/C 400 kV,Hybrid,Low,18,2019,2021,222,500
PROJ-2873,Jabalpur,Hilly Forests,1147.0,1425,2,42750.0,2856,106875,1,D/C 400 kV,AIS,Low,18,2022,2025,476,1583
PROJ-9753,Delhi,Northern Plains,1628.0,1536,1,47560.0,3072,99533,4,D/C 400 kV,GIS,High,12,2015,2019,512,3016
PROJ-9083,Chhattisgarh,Hilly Forests,1186.0,5434,1,168181.0,10866,396682,2,D/C 400 kV,Hybrid,High,18,2020,2024,1811,2818
PROJ-5523,Karnataka,Coastal Plains,2229.0,2017,1,70595.0,2118,41970,4,S/C 220 kV,GIS,Medium,18,2015,2017,706,2874
PROJ-8139,Gujarat,Desert Plains,2451.0,2557,2,76710.0,5130,184104,4,D/C 400 kV,Hybrid,Medium,12,2012,2016,855,4365
PROJ-3759,Jabalpur,Hilly Forests,1182.0,768,2,23040.0,1842,47942,1,D/C 400 kV,GIS,Low,18,2022,2025,307,500
PROJ-6431,Bihar,Northern Plains,1274.0,1915,1,57553.17151693362,1440,45960,2,S/C 220 kV,AIS,High,12,2015,2019,480,1347
PROJ-5707,Rajasthan,Desert Plains,1659.0,1208,2,36240.0,2898,86976,3,D/C 400 kV,Hybrid,Low,18,2020,2023,483,2926
PROJ-4593,Gujarat,Desert Plains,1174.0,4558,1,131777.0,10926,683700,2,D/C 765 kV,Hybrid,Low,18,2017,2020,1821,3185
PROJ-9469,Karnataka,Coastal Plains,1714.0,2158,1,64740.0,4320,164008,3,D/C 400 kV,AIS,High,18,2010,2013,720,2688
PROJ-5456,Chhattisgarh,Hilly Forests,2520.0,2355,2,70776.87672186877,5664,353250,5,D/C 765 kV,Hybrid,Medium,12,2014,2017,944,4556
PROJ-2830,Assam,Hilly Forests,943.0,1003,2,30090.0,2010,72216,1,D/C 400 kV,AIS,Medium,12,2017,2019,335,500
PROJ-3261,Bihar,Northern Plains,1457.0,1139,2,34170.0,2736,165155,2,D/C 765 kV,GIS,Low,18,2015,2018,456,1108
PROJ-5129,Rajasthan,Desert Plains,1397.0,1275,1,44625.0,1530,31212,2,S/C 220 kV,AIS,Low,18,2014,2017,510,2785
PROJ-2103,Chhattisgarh,Hilly Forests,2069.0,1578,2,55230.0,1893,32835,2,S/C 220 kV,GIS,Low,18,2011,2013,631,3232
PROJ-4072,Gujarat,Desert Plains,2294.0,2154,2,64620.0,5172,318792,3,D/C 765 kV,AIS,Low,18,2013,2015,862,4357
PROJ-7550,Raipur,Hilly Forests,1019.0,905,2,27150.0,1812,65160,2,D/C 400 kV,AIS,Low,12,2021,2025,302,500
PROJ-6946,Jabalpur,Hilly Forests,1554.0,1005,1,30150.0,2418,135675,1,D/C 765 kV,GIS,Low,12,2012,2015,403,1472
PROJ-7846,Raipur,Hilly Forests,1620.0,1398,2,42015.31790113483,3360,188730,3,D/C 765 kV,GIS,Medium,18,2021,2025,560,3229
PROJ-2442,Bihar,Northern Plains,1198.0,5607,1,168210.0,11226,420525,2,D/C 400 kV,AIS,Medium,12,2011,2013,1871,3129
PROJ-4999,Karnataka,Coastal Plains,2135.0,2383,2,83405.0,2145,51473,4,S/C 220 kV,GIS,High,12,2011,2013,715,3160
PROJ-1603,Rajasthan,Desert Plains,2308.0,2679,2,80370.0,5376,206283,3,D/C 400 kV,AIS,Low,12,2019,2022,896,4856
PROJ-7208,Jabalpur,Hilly Forests,1070.0,1191,1,35794.165679722166,2382,90516,1,D/C 400 kV,Hybrid,High,12,2011,2015,397,500
PROJ-8624,Karnataka,Coastal Plains,1488.0,1373,1,41190.0,1236,28569,2,S/C 220 kV,GIS,High,12,2010,2013,412,1747
PROJ-2840,Gujarat,Desert Plains,1662.0,1455,1,43728.38880268325,2928,90827,3,D/C 400 kV,GIS,High,12,2022,2025,488,2908
PROJ-7939,Chhattisgarh,Hilly Forests,1122.0,5715,1,171757.89828682804,11436,422910,3,D/C 400 kV,AIS,High,12,2020,2023,1906,2745
PROJ-8091,Rajasthan,Desert Plains,1991.0,1931,1,67585.0,2028,46344,3,S/C 220 kV,AIS,Medium,12,2012,2014,676,3136
PROJ-7526,Raipur,Hilly Forests,2652.0,2274,2,79590.0,2388,47317,5,S/C 220 kV,GIS,Medium,18,2019,2021,796,3980
PROJ-6063,Rajasthan,Desert Plains,992.0,670,2,20100.0,1596,96480,1,D/C 765 kV,Hybrid,Medium,12,2012,2016,266,500
PROJ-4160,Jabalpur,Hilly Forests,1340.0,1045,2,31406.29986172096,2532,156750,2,D/C 765 kV,Hybrid,Medium,18,2013,2015,422,1592
PROJ-4122,Karnataka,Coastal Plains,1672.0,1800,2,54000.0,1356,37454,3,S/C 220 kV,GIS,High,18,2011,2013,452,2982
PROJ-5546,Karnataka,Coastal Plains,2106.0,2041,1,61339.9598256196,4086,127407,2,D/C 400 kV,GIS,Medium,12,2012,2015,681,2926
PROJ-3897,Gujarat,Desert Plains,2302.0,2203,2,66090.0,5274,297405,4,D/C 765 kV,AIS,Medium,12,2013,2017,879,4305
PROJ-6739,Gujarat,Desert Plains,1101.0,1218,1,36540.0,918,25344,2,S/C 220 kV,GIS,High,12,2010,2012,306,500
PROJ-8384,Raipur,Hilly Forests,1315.0,1200,1,42000.0,1440,29376,3,S/C 220 kV,AIS,Low,18,2011,2014,480,1350
PROJ-6846,Bihar,Northern Plains,1694.0,1295,1,45325.0,1554,26946,2,S/C 220 kV,GIS,Low,18,2013,2015,518,3245
PROJ-5310,Bihar,Northern Plains,1111.0,4768,1,166880.0,5721,116721,3,S/C 220 kV,AIS,Low,18,2020,2024,1907,3064
PROJ-4327,Bihar,Northern Plains,1967.0,1835,1,55050.0,3684,141295,2,D/C 400 kV,Hybrid,Medium,18,2018,2021,614,2967
PROJ-9242,Gujarat,Desert Plains,2358.0,2715,3,81596.27188954297,5436,195480,5,D/C 400 kV,AIS,High,18,2013,2015,906,4446
PROJ-6372,Gujarat,Desert Plains,1107.0,786,2,25752.0,1572,49065,1,D/C 400 kV,GIS,Medium,12,2013,2015,262,500
PROJ-5847,Bihar,Northern Plains,1411.0,878,1,26387.30265893876,2118,131700,1,D/C 765 kV,AIS,Low,12,2011,2014,353,1750
PROJ-1254,Assam,Hilly Forests,1725.0,1369,1,42495.0,3282,202612,3,D/C 765 kV,GIS,Low,12,2010,2012,547,2751
PROJ-3766,Chhattisgarh,Hilly Forests,1268.0,4398,1,153930.0,5277,107663,2,S/C 220 kV,Hybrid,Low,12,2012,2016,1759,2983
PROJ-1169,Jabalpur,Hilly Forests,2261.0,1569,1,48028.0,3774,211815,3,D/C 765 kV,GIS,Medium,12,2014,2018,629,2972
PROJ-4289,Chhattisgarh,Hilly Forests,2235.0,2537,3,76110.0,2664,62106,5,S/C 220 kV,AIS,Medium,12,2012,2016,888,4154
PROJ-8840,Delhi,Northern Plains,1024.0,1203,1,48120.0,2166,184059,2,D/C 765 kV,AIS,High,18,2022,2025,361,500
PROJ-2561,Raipur,Hilly Forests,1241.0,1051,2,31586.623114515533,2520,154497,1,D/C 765 kV,AIS,Medium,18,2010,2012,420,1608
PROJ-3177,Assam,Hilly Forests,1671.0,1737,2,52110.0,1305,37519,4,S/C 220 kV,GIS,High,18,2018,2021,435,2839
PROJ-8274,Gujarat,Desert Plains,1775.0,1992,2,59760.0,3990,145416,3,D/C 400 kV,AIS,Low,12,2015,2018,665,2856
PROJ-7744,Jabalpur,Hilly Forests,2650.0,2677,3,93695.0,2811,57823,3,S/C 220 kV,GIS,Medium,18,2022,2026,937,5036
PROJ-9276,Bihar,Northern Plains,1175.0,950,1,38000.0,1710,123548,1,D/C 765 kV,GIS,High,18,2020,2024,285,500
PROJ-8191,Odisha,Coastal Plains,1531.0,1030,2,30955.49172973453,2484,147290,3,D/C 765 kV,GIS,Medium,12,2021,2024,414,1374
PROJ-3598,Gujarat,Desert Plains,1422.0,1420,2,42676.5031613816,2838,102240,4,D/C 400 kV,AIS,Medium,12,2014,2016,473,2961
PROJ-5910,Delhi,Northern Plains,1183.0,4478,2,134340.0,10746,322416,3,D/C 400 kV,AIS,Low,18,2011,2015,1791,3039
PROJ-5366,Jabalpur,Hilly Forests,2061.0,1960,1,68600.0,2058,42336,4,S/C 220 kV,GIS,Medium,18,2012,2016,686,2811
PROJ-9376,Jabalpur,Hilly Forests,2356.0,2543,2,89005.0,2670,62253,3,S/C 220 kV,AIS,Medium,12,2017,2019,890,4230
PROJ-6954,Jabalpur,Hilly Forests,1156.0,1127,1,33810.0,2268,73030,2,D/C 400 kV,GIS,High,12,2018,2021,378,500
PROJ-1826,Assam,Hilly Forests,1263.0,1206,1,42210.0,1266,28944,3,S/C 220 kV,AIS,Medium,12,2012,2016,422,1201
PROJ-9141,Delhi,Northern Plains,1592.0,1401,1,42030.0,2784,87456,4,D/C 400 kV,GIS,High,18,2018,2020,464,3116
PROJ-2263,Rajasthan,Desert Plains,1174.0,4531,2,135930.0,10878,679650,3,D/C 765 kV,Hybrid,Low,12,2012,2014,1813,3108
PROJ-2588,Bihar,Northern Plains,2055.0,1210,2,36300.0,2910,171820,2,D/C 765 kV,Hybrid,Low,12,2022,2024,485,2762
PROJ-9035,Raipur,Hilly Forests,2581.0,2795,3,84000.5819268039,5592,206830,5,D/C 400 kV,Hybrid,Medium,12,2013,2015,932,4259
PROJ-9092,Assam,Hilly Forests,988.0,1046,2,31917.0,2094,82634,2,D/C 400 kV,Hybrid,Medium,12,2016,2018,349,500
PROJ-1178,Raipur,Hilly Forests,1289.0,1049,2,36715.0,1101,25680,2,S/C 220 kV,Hybrid,Medium,12,2016,2020,367,1425
PROJ-1291,Jabalpur,Hilly Forests,1676.0,1650,2,52411.0,3312,103000,4,D/C 400 kV,GIS,Medium,12,2017,2020,552,2930
PROJ-1009,Odisha,Coastal Plains,1406.0,6223,1,217805.0,5601,149352,3,S/C 220 kV,Hybrid,High,12,2011,2015,1867,3212
PROJ-7093,Gujarat,Desert Plains,1922.0,1511,1,45411.40582876591,3630,210029,3,D/C 765 kV,Hybrid,Low,12,2010,2013,605,2902
PROJ-9535,Chhattisgarh,Hilly Forests,2425.0,2238,2,67140.0,5370,164359,5,D/C 400 kV,AIS,Low,12,2017,2019,895,4624
PROJ-6533,Rajasthan,Desert Plains,1088.0,1063,2,31890.0,957,26022,1,S/C 220 kV,Hybrid,High,12,2011,2015,319,500
PROJ-9097,Odisha,Coastal Plains,1437.0,1524,1,45720.0,3060,95134,2,D/C 400 kV,GIS,Low,12,2012,2015,510,1397
PROJ-9688,Gujarat,Desert Plains,1538.0,2106,2,63293.46173089411,1590,48438,3,S/C 220 kV,Hybrid,High,12,2022,2024,530,2797
PROJ-9170,Odisha,Coastal Plains,1260.0,4738,2,142140.0,5685,98588,3,S/C 220 kV,GIS,Low,18,2015,2019,1895,2839
PROJ-5750,Rajasthan,Desert Plains,2154.0,1869,2,56070.0,1962,38890,4,S/C 220 kV,GIS,Medium,12,2017,2021,654,2976
PROJ-7929,Odisha,Coastal Plains,2678.0,2560,3,76937.92119234991,6144,345600,3,D/C 765 kV,GIS,Low,18,2018,2021,1024,4363
PROJ-2513,Odisha,Coastal Plains,1221.0,657,1,19710.0,1320,41013,1,D/C 400 kV,GIS,Medium,12,2022,2024,220,500
PROJ-3088,Odisha,Coastal Plains,1414.0,1028,1,30840.0,2472,148032,3,D/C 765 kV,Hybrid,Medium,12,2013,2015,412,1665
PROJ-7539,Raipur,Hilly Forests,1611.0,996,1,29880.0,2406,147408,2,D/C 765 kV,GIS,Low,18,2010,2013,401,2919
PROJ-1299,Gujarat,Desert Plains,2296.0,2170,1,86800.0,3906,282208,2,D/C 765 kV,GIS,High,18,2012,2014,651,3062
PROJ-9704,Karnataka,Coastal Plains,2554.0,2713,3,81390.0,2442,65112,4,S/C 220 kV,Hybrid,High,12,2019,2023,814,4573
PROJ-4752,Bihar,Northern Plains,1130.0,742,1,25970.0,891,16027,1,S/C 220 kV,GIS,Low,18,2021,2025,297,500
PROJ-3482,Jabalpur,Hilly Forests,1482.0,1688,1,50730.94178620572,3360,109382,1,D/C 400 kV,GIS,High,18,2017,2019,560,1463
PROJ-5347,Chhattisgarh,Hilly Forests,1335.0,1899,2,57072.30950948144,1431,45576,4,S/C 220 kV,Hybrid,High,18,2020,2023,477,3396
PROJ-5652,Delhi,Northern Plains,1276.0,6337,2,221795.0,5703,152088,4,S/C 220 kV,Hybrid,High,18,2021,2025,1901,3053
PROJ-9814,Gujarat,Desert Plains,2238.0,1611,2,48330.0,1692,33522,2,S/C 220 kV,GIS,Medium,18,2017,2021,564,2936
PROJ-4987,Jabalpur,Hilly Forests,2688.0,3033,2,121320.0,5460,409455,3,D/C 765 kV,GIS,High,18,2018,2022,910,4426
PROJ-5458,Odisha,Coastal Plains,1063.0,761,2,22830.0,1512,59358,1,D/C 400 kV,Hybrid,High,12,2011,2014,252,500
PROJ-8973,Bihar,Northern Plains,1340.0,1052,2,31616.676989981293,2526,157800,3,D/C 765 kV,Hybrid,Low,18,2016,2020,421,1702
PROJ-8702,Karnataka,Coastal Plains,1520.0,1257,2,37366.0,3024,181008,4,D/C 765 kV,GIS,Medium,12,2012,2016,504,2732
PROJ-7799,Gujarat,Desert Plains,1173.0,5561,2,167129.60146510074,11136,400392,3,D/C 400 kV,Hybrid,Medium,12,2019,2022,1856,2815
PROJ-3384,Odisha,Coastal Plains,2235.0,2010,1,80400.0,3618,271350,4,D/C 765 kV,GIS,High,12,2010,2013,603,2663
PROJ-3055,Rajasthan,Desert Plains,2224.0,2950,2,118000.0,5310,451350,5,D/C 765 kV,AIS,High,18,2013,2017,885,4242
PROJ-1772,Delhi,Northern Plains,1138.0,806,1,24919.0,1620,52229,2,D/C 400 kV,GIS,Medium,12,2011,2014,270,500
PROJ-8549,Raipur,Hilly Forests,1421.0,1511,2,52885.0,1587,36989,2,S/C 220 kV,Hybrid,Medium,12,2014,2016,529,1786
PROJ-8248,Chhattisgarh,Hilly Forests,1586.0,1283,2,38490.0,3090,180903,4,D/C 765 kV,GIS,Low,18,2019,2022,515,2810
PROJ-9407,Jabalpur,Hilly Forests,2138.0,1980,2,59400.0,3966,128304,3,D/C 400 kV,GIS,Low,18,2019,2023,661,2933
PROJ-2276,Gujarat,Desert Plains,2255.0,2322,3,81270.0,2787,55728,5,S/C 220 kV,AIS,Low,18,2014,2017,929,3851
PROJ-5158,Delhi,Northern Plains,1101.0,1142,1,34690.0,858,27408,1,S/C 220 kV,Hybrid,High,18,2015,2018,286,500
PROJ-8333,Gujarat,Desert Plains,1404.0,1503,1,45170.97482503981,3012,108216,2,D/C 400 kV,Hybrid,Low,18,2019,2023,502,1593
PROJ-6730,Gujarat,Desert Plains,1608.0,1581,2,47430.0,3174,98692,4,D/C 400 kV,GIS,High,18,2022,2024,529,2976
PROJ-2616,Gujarat,Desert Plains,1284.0,4735,2,142050.0,11364,710250,3,D/C 765 kV,Hybrid,Low,12,2020,2024,1894,2787
PROJ-5448,Raipur,Hilly Forests,1866.0,1749,2,56297.0,4194,262350,2,D/C 765 kV,AIS,Low,18,2017,2019,699,2870
PROJ-9930,Chhattisgarh,Hilly Forests,2445.0,3457,3,103710.0,2595,86425,4,S/C 220 kV,Hybrid,High,12,2016,2018,865,4634
PROJ-4487,Raipur,Hilly Forests,983.0,901,2,29111.0,2142,135150,2,D/C 765 kV,AIS,Low,18,2011,2013,357,500
PROJ-9711,Rajasthan,Desert Plains,1299.0,1673,1,66920.0,3012,250950,1,D/C 765 kV,AIS,High,18,2010,2012,502,1764
PROJ-6051,Raipur,Hilly Forests,1509.0,1820,1,72800.0,3276,273000,2,D/C 765 kV,Hybrid,High,18,2014,2018,546,2849
PROJ-4714,Assam,Hilly Forests,1240.0,4587,2,137857.12676144886,11022,619245,2,D/C 765 kV,GIS,Medium,18,2015,2017,1837,2803
PROJ-2811,Karnataka,Coastal Plains,2129.0,1667,1,50010.0,3996,225045,4,D/C 765 kV,GIS,Low,18,2020,2022,666,3077
PROJ-6315,Odisha,Coastal Plains,2431.0,2639,2,71977.0,5262,190008,3,D/C 400 kV,Hybrid,High,12,2022,2024,877,4796
PROJ-5991,Jabalpur,Hilly Forests,1192.0,1013,2,40520.0,1824,131741,1,D/C 765 kV,GIS,High,18,2015,2018,304,500
PROJ-2452,Jabalpur,Hilly Forests,1420.0,1028,1,30840.0,2466,74016,1,D/C 400 kV,Hybrid,Low,12,2010,2012,411,1848
PROJ-6497,Karnataka,Coastal Plains,1640.0,1172,1,35160.0,2826,165252,2,D/C 765 kV,GIS,Medium,12,2012,2016,471,3089
PROJ-7871,Assam,Hilly Forests,1420.0,4582,1,137460.0,5499,98971,4,S/C 220 kV,GIS,Low,18,2012,2014,1833,3091
